Year,Place,Name,Team,Time
2024,70,Ezekiel Robertson,Forest Cycling,02:40.4
2024,92,Joseph Grimes,Forest Cycling,02:43.3
2024,95,Will Bridgwater,Forest Cycling,02:43.5
2024,112,Griffin Stark,Forest Cycling,02:45.2
2024,125,Steele Staley,Forest Cycling,02:48.7
2024,142,Austin Tran,Forest Cycling,02:51.9
2023,47,Bennet Gassner,Forest Cycling,02:38.2
2023,55,Zeke Robertson,Forest Cycling,02:39.7
2023,82,Ben Vorisek,Forest Cycling,02:44.9
2023,119,Raffaele Zallo,Forest Cycling,02:51.1
2023,137,Austin Tran,Forest Cycling,02:53.9
2023,143,Griffin Stark,Forest Cycling,02:57.4
2022,28,Rob Hageboeck,Forest Cycling,02:38.4
2022,40,Charlie Moffitt,Forest Cycling,02:40.8
2022,62,Ezekiel Robertson,Forest Cycling,02:45.5
2022,76,Raffaele Zallo,Forest Cycling,02:47.4
2022,81,Austin Tran,Forest Cycling,02:48.1
2022,84,Zach Maudlin,Forest Cycling,02:48.9
2022,94,David Holloway,Forest Cycling,02:51.3
2021,26,Charlie Moffitt,Forest Cycling,02:28.6
2021,81,Matthew Walsh,Forest Cycling,02:42.2
2021,90,Andrew Brown,Forest Cycling,02:46.2
2021,96,Zach Maudlin,Forest Cycling,02:47.1
2021,98,Armando Bracco,Forest Cycling,02:48.3
2021,109,Ian McCormick,Forest Cycling,02:52.9
2019,14,Patrick McKay,Forest Cycling,02:27.2
2019,16,Hank Duncan,Forest Cycling,02:27.4
2019,91,Ramon Duarte,Forest Cycling,02:37.8
2019,97,Charlie Moffitt,Forest Cycling,02:39.3
2019,103,Trey Beatty,Forest Cycling,02:41.0
2019,131,Andrew Brown,Forest Cycling,02:46.0
2018,39,Hank Duncan,Forest Cycling,02:29.1
2018,45,Johnathan Steenport,Forest Cycling,02:29.9
2018,56,Parker Rauschuber,Forest Cycling,02:31.2
2018,93,James Key,Forest Cycling,02:37.1
2018,114,Patrick McKay,Forest Cycling,02:41.0
2018,136,Trey Beatty,Forest Cycling,02:47.8
2017,18,Colin Evans,Forest Cycling,02:28.1
2017,26,Joe Hunt,Forest Cycling,02:29.0
2017,52,Jonathan Steenport,Forest Cycling,02:32.1
2017,57,Parker Rauschuber,Forest Cycling,02:32.7
2017,66,Samuel Patterson,Forest Cycling,02:34.7
2017,121,Brian Barnes,Forest Cycling,02:42.0
2016,9,Joseph Hunt,Forest Cycling,02:23.5
2016,31,Colin Evans,Forest Cycling,02:28.8
2016,52,Lewis Woods,Forest Cycling,02:31.9
2016,58,Samuel Patterson,Forest Cycling,02:33.1
2016,129,Addison Sullivan,Forest Cycling,02:44.7
2015,15,Joseph Hunt,Forest Cycling,02:24.7
2015,31,Colin Evans,Forest Cycling,02:26.6
2015,34,Robert Henderson,Forest Cycling,02:27.4
2015,48,Austin Portolese,Forest Cycling,02:28.9
2015,77,Kyle Swain,Forest Cycling,02:32.9
2015,102,Sam Patterson,Forest Cycling,02:37.1
2015,114,Lewis Woods,Forest Cycling,02:39.1
2015,119,Richard Dixon,Forest Cycling,02:40.0
2014,40,Austin Portolese,Forest Cycling,02:30.8
2014,55,Robert Henderson,Forest Cycling,02:33.3
2014,68,Kyle Swain,Forest Cycling,02:35.6
2014,115,Richard Dixon,Forest Cycling,02:44.2
2013,63,Austin Portolese,Forest,02:36.6
2013,85,Bo Henderson,Forest Cycling,02:38.4
2013,99,Neal Ward,Forest,02:39.8
2013,123,Kyle Swain,Forest,02:43.1
2012,92,John Silverthorn,Forest,02:36.0
2012,112,Austin Portolese,Forest,02:38.2
2012,128,Neal Ward,Forest,02:40.1
2012,133,Robert Henderson,Forest,02:40.6
